Sensor.Gene	Sensor.Name	Sensor.Type	Sensor.Pathway	HMDB.ID	Metabolite.Name	Metabolite.Class	Metabolite.Pathway	Long.Range.Channel	Evidences	Sources
ABCA1	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	transporter	WP4874: CAMKK2 pathway; WP4522: Metabolic pathway of LDL, HDL and TG, including diseases; WP5158: Urotensin-II-mediated signaling; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP5012: NR1H2 and NR1H3-mediated signaling; WP2797: Regulation of lipid metabolism by PPARalpha; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0006247	25-Hydroxycholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis	Blood,Urine	16611739	Mebocost
ABCA1	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	transporter	WP4874: CAMKK2 pathway; WP4522: Metabolic pathway of LDL, HDL and TG, including diseases; WP5158: Urotensin-II-mediated signaling; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP5012: NR1H2 and NR1H3-mediated signaling; WP2797: Regulation of lipid metabolism by PPARalpha; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	39978466; 36521550; 37181814	MetalinkDB
ABCA13	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)	transporter	WP4049: Neutrophil degranulation	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	33478937	MetaChatDB
ABCB4	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)	transporter	WP2879: Farnesoid X receptor pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP2797: Regulation of lipid metabolism by PPARalpha; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0008138	PC(18:2(9Z,12Z)/18:2(9Z,12Z))	Lipids and lipid-like molecules		Blood,Feces,Saliva,Urine	32917728	MetaChatDB
ABCB6	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	transporter	WP1780: ABC-family proteins mediated transport	HMDB0001261	Coproporphyrinogen III	Organoheterocyclic compounds	Porphyrin Metabolism	Blood	23792964	MetaChatDB
ABCB6	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	transporter	WP1780: ABC-family proteins mediated transport	HMDB0000125	Glutathione	Organic acids and derivatives	Arachidonic Acid Metabolism; Glutamate Metabolism; Glutathione metabolism; Pyruvate metabolism	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine	35950458	MetaChatDB
ABCC1	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	transporter	WP5300: TROP2 regulatory signaling; WP1780: ABC-family proteins mediated transport	HMDB0011625	Dimethylarsinic acid	Organometallic compounds		Blood,Saliva,Urine	21918036	MetaChatDB
ABCC1	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	transporter	WP5300: TROP2 regulatory signaling; WP1780: ABC-family proteins mediated transport	HMDB0000125	Glutathione	Organic acids and derivatives	Arachidonic Acid Metabolism; Glutamate Metabolism; Glutathione metabolism; Pyruvate metabolism	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine	32377003	MetaChatDB
ABCC10	ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)	transporter	WP1780: ABC-family proteins mediated transport	HMDB0010317	17-beta-Estradiol glucuronide	Lipids and lipid-like molecules		Blood,Urine	8621644	MetaChatDB
ABCC2	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2875: Constitutive androstane receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0001964	Caffeic acid	Phenylpropanoids and polyketides		Blood,Feces,Urine	28532626	MetaChatDB
