met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
h[c],proton,1210,C00282,HMDB01362,FALSE,[c],h,h.c.,HMDB0001362
h2o[c],Water,868,C00001,HMDB02111,FALSE,[c],h2o,h2o.c.,HMDB0002111
na1[c],Sodium,483,C01330,HMDB00588,FALSE,[c],na1,na1.c.,HMDB0000588
na1[e],Sodium,479,C01330,HMDB00588,FALSE,[e],na1,na1.e.,HMDB0000588
h[m],proton,448,C00282,HMDB01362,FALSE,[m],h,h.m.,HMDB0001362
atp[c],ATP,380,C00002,HMDB00538,FALSE,[c],atp,atp.c.,HMDB0000538
h[r],proton,291,C00282,HMDB01362,FALSE,[r],h,h.r.,HMDB0001362
pi[c],hydrogenphosphate,288,C00009,HMDB00973,FALSE,[c],pi,pi.c.,HMDB0001429
h2o[m],Water,284,C00001,HMDB02111,FALSE,[m],h2o,h2o.m.,HMDB0002111
adp[c],ADP,278,C00008,HMDB01341,FALSE,[c],adp,adp.c.,HMDB0001341
nadp[c],Nicotinamide adenine dinucleotide phosphate,269,C00006,HMDB00217,FALSE,[c],nadp,nadp.c.,HMDB0000217
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,267,C00005,HMDB00221,FALSE,[c],nadph,nadph.c.,HMDB0000221
coa[c],Coenzyme A,266,C00010,HMDB01423,FALSE,[c],coa,coa.c.,HMDB0001423
o2[c],O2,243,C00007,HMDB01377,FALSE,[c],o2,o2.c.,HMDB0001377
hco3[c],Bicarbonate,243,C00288,HMDB00595,FALSE,[c],hco3,hco3.c.,HMDB0000595
h[g],proton,243,C00282,HMDB01362,FALSE,[g],h,h.g.,HMDB0001362
hco3[e],Bicarbonate,241,C00288,HMDB00595,FALSE,[e],hco3,hco3.e.,HMDB0000595
coa[m],Coenzyme A,225,C00010,HMDB01423,FALSE,[m],coa,coa.m.,HMDB0001423
h2o[l],Water,219,C00001,HMDB02111,FALSE,[l],h2o,h2o.l.,HMDB0002111
h2o[r],Water,198,C00001,HMDB02111,FALSE,[r],h2o,h2o.r.,HMDB0002111
nad[m],Nicotinamide adenine dinucleotide,177,C00003,HMDB00902,FALSE,[m],nad,nad.m.,HMDB0000902
nadh[m],Nicotinamide adenine dinucleotide - reduced,175,C00004,HMDB01487,FALSE,[m],nadh,nadh.m.,HMDB0001487
h[x],proton,167,C00282,HMDB01362,FALSE,[x],h,h.x.,HMDB0001362
h2o[x],Water,165,C00001,HMDB02111,FALSE,[x],h2o,h2o.x.,HMDB0002111
ppi[c],Diphosphate,157,C00013,HMDB00250,FALSE,[c],ppi,ppi.c.,HMDB0000250
nad[c],Nicotinamide adenine dinucleotide,155,C00003,HMDB00902,FALSE,[c],nad,nad.c.,HMDB0000902
nadh[c],Nicotinamide adenine dinucleotide - reduced,150,C00004,HMDB01487,FALSE,[c],nadh,nadh.c.,HMDB0001487
nadph[r],Nicotinamide adenine dinucleotide phosphate - reduced,147,C00005,HMDB00221,FALSE,[r],nadph,nadph.r.,HMDB0000221
nadp[r],Nicotinamide adenine dinucleotide phosphate,147,C00006,HMDB00217,FALSE,[r],nadp,nadp.r.,HMDB0000217
coa[x],Coenzyme A,146,C00010,HMDB01423,FALSE,[x],coa,coa.x.,HMDB0001423
amp[c],AMP,129,C00020,HMDB00045,FALSE,[c],amp,amp.c.,HMDB0000045
fad[m],Flavin adenine dinucleotide oxidized,128,C00016,HMDB01248,FALSE,[m],fad,fad.m.,HMDB0001248
fadh2[m],Flavin adenine dinucleotide reduced,127,C01352,HMDB01197,FALSE,[m],fadh2,fadh2.m.,HMDB0001197
accoa[m],Acetyl-CoA,124,C00024,HMDB01206,FALSE,[m],accoa,accoa.m.,HMDB0001206
h[e],proton,122,C00282,HMDB01362,FALSE,[e],h,h.e.,HMDB0001362
udp[g],UDP,122,C00015,HMDB00295,FALSE,[g],udp,udp.g.,HMDB0000295
gly[c],Glycine,121,C00037,HMDB00123,FALSE,[c],gly,gly.c.,HMDB0000123
crn[c],L-Carnitine,119,C15025,HMDB00062,FALSE,[c],crn,crn.c.,HMDB0000062
h2o[e],Water,116,C00001,HMDB02111,FALSE,[e],h2o,h2o.e.,HMDB0002111
ala_L[c],L-alanine,114,C00041,HMDB00161,FALSE,[c],ala_L,ala_L.c.,HMDB0000161
nadph[m],Nicotinamide adenine dinucleotide phosphate - reduced,111,C00005,HMDB00221,FALSE,[m],nadph,nadph.m.,HMDB0000221
nadp[m],Nicotinamide adenine dinucleotide phosphate,111,C00006,HMDB00217,FALSE,[m],nadp,nadp.m.,HMDB0000217
gln_L[c],L-glutamine,111,C00064,HMDB00641,FALSE,[c],gln_L,gln_L.c.,HMDB0000641
ser_L[c],L-serine,111,C00065,HMDB00187,FALSE,[c],ser_L,ser_L.c.,HMDB0000187
phe_L[c],L-phenylalanine,111,C00079,HMDB00159,FALSE,[c],phe_L,phe_L.c.,HMDB0000159
o2[x],O2,108,C00007,HMDB01377,FALSE,[x],o2,o2.x.,HMDB0001377
leu_L[c],L-leucine,108,C00123,HMDB00687,FALSE,[c],leu_L,leu_L.c.,HMDB0000687
h[l],proton,106,C00282,HMDB01362,FALSE,[l],h,h.l.,HMDB0001362
cys_L[c],L-cysteine,104,C00097,HMDB00574,FALSE,[c],cys_L,cys_L.c.,HMDB0000574
o2[r],O2,104,C00007,HMDB01377,FALSE,[r],o2,o2.r.,HMDB0001377
pro_L[c],L-proline,104,C00148,HMDB00162,FALSE,[c],pro_L,pro_L.c.,HMDB0000162
met_L[c],L-methionine,102,C00073,HMDB00696,FALSE,[c],met_L,met_L.c.,HMDB0000696
tyr_L[c],L-tyrosine,101,C00082,HMDB00158,FALSE,[c],tyr_L,tyr_L.c.,HMDB0000158
nadh[x],Nicotinamide adenine dinucleotide - reduced,100,C00004,HMDB01487,FALSE,[x],nadh,nadh.x.,HMDB0001487
nad[x],Nicotinamide adenine dinucleotide,99,C00003,HMDB00902,FALSE,[x],nad,nad.x.,HMDB0000902
asn_L[c],L-asparagine,98,C00152,HMDB00168,FALSE,[c],asn_L,asn_L.c.,HMDB0000168
thr_L[c],L-threonine,98,C00188,HMDB00167,FALSE,[c],thr_L,thr_L.c.,HMDB0000167
val_L[c],L-valine,98,C00183,HMDB00883,FALSE,[c],val_L,val_L.c.,HMDB0000883
co2[c],carbon dioxide,97,C00011,HMDB01967,FALSE,[c],co2,co2.c.,HMDB0001967
trp_L[c],L-tryptophan,97,C00078,HMDB00929,FALSE,[c],trp_L,trp_L.c.,HMDB0000929
h2o2[x],Hydrogen peroxide,96,C00027,HMDB03125,FALSE,[x],h2o2,h2o2.x.,HMDB0003125
ile_L[c],L-isoleucine,96,C00407,HMDB00172,FALSE,[c],ile_L,ile_L.c.,HMDB0000172
glu_L[c],L-glutamate(1-),95,C00025,HMDB00148,FALSE,[c],glu_L,glu_L.c.,HMDB0000148
arg_L[c],L-argininium(1+),95,C00062,HMDB00517,FALSE,[c],arg_L,arg_L.c.,HMDB0000517
gthrd[c],Reduced glutathione,94,C00051,HMDB00125,FALSE,[c],gthrd,gthrd.c.,HMDB0000125
his_L[c],L-histidine,92,C00135,HMDB00177,FALSE,[c],his_L,his_L.c.,HMDB0000177
lys_L[c],L-lysinium(1+),91,C00047,HMDB00182,FALSE,[c],lys_L,lys_L.c.,HMDB0000182
atp[m],ATP,87,C00002,HMDB00538,FALSE,[m],atp,atp.m.,HMDB0000538
accoa[x],Acetyl-CoA,82,C00024,HMDB01206,FALSE,[x],accoa,accoa.x.,HMDB0001206
so4[l],sulfate,75,C00059,HMDB01448,FALSE,[l],so4,so4.l.,HMDB0001448
adp[m],ADP,71,C00008,HMDB01341,FALSE,[m],adp,adp.m.,HMDB0001341
leu_L[e],L-leucine,69,C00123,HMDB00687,FALSE,[e],leu_L,leu_L.e.,HMDB0000687
phe_L[e],L-phenylalanine,69,C00079,HMDB00159,FALSE,[e],phe_L,phe_L.e.,HMDB0000159
